fold_id,amp_noise_prior,time_prior,dimension_prior,lambda_corr,pred_corr_mean_L,pred_corr_mean_S,pred_corr_mean_C,pred_corr_std_L,pred_corr_std_S,pred_corr_std_C,mean_abs_pred_corr_over_train_std_L,mean_abs_pred_corr_over_train_std_S,mean_abs_pred_corr_over_train_std_C
1,conservative_amp_noise,long_time,moderate_dims,1.0,-0.0011134296760390643,-0.0025290709004821216,0.003580457570275596,0.000142082857051672,0.0006109720155450075,0.0008971618396044585,0.2845312070810045,0.3107485842457994,0.29782728364847805
1,moderate_amp_noise,current_time,smooth_dims,0.25,-0.0024984239384720983,-0.005771617858658352,0.010438985169415336,0.000324474308349339,0.001266717509914775,0.0019915523260814177,0.6384593426164459,0.7091624351234884,0.8683288479283414
1,moderate_amp_noise,current_time,smooth_dims,0.5,-0.0024984239384720983,-0.005771617858658352,0.010438985169415336,0.000324474308349339,0.001266717509914775,0.0019915523260814177,0.6384593426164459,0.7091624351234884,0.8683288479283414
1,moderate_amp_noise,current_time,smooth_dims,1.0,-0.0024984239384720983,-0.005771617858658352,0.010438985169415336,0.000324474308349339,0.001266717509914775,0.0019915523260814177,0.6384593426164459,0.7091624351234884,0.8683288479283414
1,moderate_amp_noise,current_time,moderate_dims,0.25,-0.0033983976796286503,-0.008399789579127218,0.009759125478395279,0.0004906173227282357,0.0020202370650414603,0.00316731243736804,0.8684429872265228,1.0320876014898634,0.8117772030437431
1,moderate_amp_noise,current_time,moderate_dims,0.5,-0.0033983976796286503,-0.008399789579127218,0.009759125478395279,0.0004906173227282357,0.0020202370650414603,0.00316731243736804,0.8684429872265228,1.0320876014898634,0.8117772030437431
1,moderate_amp_noise,current_time,moderate_dims,1.0,-0.0033983976796286503,-0.008399789579127218,0.009759125478395279,0.0004906173227282357,0.0020202370650414603,0.00316731243736804,0.8684429872265228,1.0320876014898634,0.8117772030437431
1,moderate_amp_noise,long_time,smooth_dims,0.25,-0.0019358896523937528,-0.004960959907131477,0.004608158831257198,0.00028303705745218096,0.0012040569624569009,0.0018738183298734148,0.4947066091598364,0.6095563660739596,0.3833128588725147
1,moderate_amp_noise,long_time,smooth_dims,0.5,-0.0019358896523937528,-0.004960959907131477,0.004608158831257198,0.00028303705745218096,0.0012040569624569009,0.0018738183298734148,0.4947066091598364,0.6095563660739596,0.3833128588725147
1,moderate_amp_noise,long_time,smooth_dims,1.0,-0.0019358896523937528,-0.004960959907131477,0.004608158831257198,0.00028303705745218096,0.0012040569624569009,0.0018738183298734148,0.4947066091598364,0.6095563660739596,0.3833128588725147
1,moderate_amp_noise,long_time,moderate_dims,0.25,-0.002860592879061843,-0.007695205681299464,0.0035201352148974767,0.00046752111520811517,0.0020043025365617142,0.0031920801193532785,0.731009746158621,0.9455149203164638,0.3369387843894901
1,moderate_amp_noise,long_time,moderate_dims,0.5,-0.002860592879061843,-0.007695205681299464,0.0035201352148974767,0.00046752111520811517,0.0020043025365617142,0.0031920801193532785,0.731009746158621,0.9455149203164638,0.3369387843894901
1,moderate_amp_noise,long_time,moderate_dims,1.0,-0.002860592879061843,-0.007695205681299464,0.0035201352148974767,0.00046752111520811517,0.0020043025365617142,0.0031920801193532785,0.731009746158621,0.9455149203164638,0.3369387843894901
2,conservative_amp_noise,current_time,smooth_dims,0.25,-0.0013178983933611868,-0.0016566348037513933,0.011218274464440273,0.0001070176543020875,0.0002699346239185077,0.0009739068236421812,0.3541027533128022,0.22570793390867563,0.9867371468737403
2,conservative_amp_noise,current_time,smooth_dims,0.5,-0.0013178983933611868,-0.0016566348037513933,0.011218274464440273,0.0001070176543020875,0.0002699346239185077,0.0009739068236421812,0.3541027533128022,0.22570793390867563,0.9867371468737403
2,conservative_amp_noise,current_time,smooth_dims,1.0,-0.0013178983933611868,-0.0016566348037513933,0.011218274464440273,0.0001070176543020875,0.0002699346239185077,0.0009739068236421812,0.3541027533128022,0.22570793390867563,0.9867371468737403
2,conservative_amp_noise,current_time,moderate_dims,0.25,-0.001706527104987716,-0.0022143529719354372,0.011668470577638075,0.0001462622654694004,0.00044821922345079414,0.001290837295491091,0.45852240925637394,0.30169415317625203,1.0263355030807089
2,conservative_amp_noise,current_time,moderate_dims,0.5,-0.001706527104987716,-0.0022143529719354372,0.011668470577638075,0.0001462622654694004,0.00044821922345079414,0.001290837295491091,0.45852240925637394,0.30169415317625203,1.0263355030807089
2,conservative_amp_noise,current_time,moderate_dims,1.0,-0.001706527104987716,-0.0022143529719354372,0.011668470577638075,0.0001462622654694004,0.00044821922345079414,0.001290837295491091,0.45852240925637394,0.30169415317625203,1.0263355030807089
2,conservative_amp_noise,long_time,smooth_dims,0.25,-0.0009778497124687815,-0.0014530561444770812,0.005432982586164296,8.113635745312511e-05,0.0002688525222969395,0.000626662980596454,0.26273594175057985,0.1979713932609405,0.47787436054266225
2,conservative_amp_noise,long_time,smooth_dims,0.5,-0.0009778497124687815,-0.0014530561444770812,0.005432982586164296,8.113635745312511e-05,0.0002688525222969395,0.000626662980596454,0.26273594175057985,0.1979713932609405,0.47787436054266225
2,conservative_amp_noise,long_time,smooth_dims,1.0,-0.0009778497124687815,-0.0014530561444770812,0.005432982586164296,8.113635745312511e-05,0.0002688525222969395,0.000626662980596454,0.26273594175057985,0.1979713932609405,0.47787436054266225
2,conservative_amp_noise,long_time,moderate_dims,0.25,-0.001375533089594775,-0.002038824478945171,0.005785629733280467,0.00012839992007876485,0.00045294994937626295,0.0010295642538299273,0.3695884726409897,0.27777930277879426,0.5088925033864277
