fold_id,amp_noise_prior,time_prior,dimension_prior,factor,ell_L_dm_t,ell_S_dm_t,ell_C_dm_t,ell_dL_t,ell_dS_t,ell_dC_t,ell_time,alpha_factor,sigma_factor,map_objective,optimizer_success,best_restart_name,final_jitter,n_train,pathology_flag
2,conservative_amp_noise,long_time,moderate_dims,C,2.227919466420978,2.2461530405545442,2.2027250330442825,1.7187150190027638,1.7449654693209096,1.7388630182581597,2.136159282493878,0.0679815786149106,0.9912516481447436,-1163.4852173296226,True,moderate,1e-06,274,none
2,moderate_amp_noise,current_time,smooth_dims,L,2.692468770637477,2.794090265691307,2.5434334750178644,2.1460045038774376,2.187658443818207,2.2226629951008694,1.203192664575047,0.09322391055607628,0.9934743031532344,-1162.556154791365,True,conservative,1e-06,274,none
2,moderate_amp_noise,current_time,smooth_dims,S,2.692468770637477,2.794090265691307,2.5434334750178644,2.1460045038774376,2.187658443818207,2.2226629951008694,1.203192664575047,0.09905319592769682,0.9919584512856088,-1162.556154791365,True,conservative,1e-06,274,none
2,moderate_amp_noise,current_time,smooth_dims,C,2.692468770637477,2.794090265691307,2.5434334750178644,2.1460045038774376,2.187658443818207,2.2226629951008694,1.203192664575047,0.16821580814665424,0.9687624677405986,-1162.556154791365,True,conservative,1e-06,274,none
2,moderate_amp_noise,current_time,moderate_dims,L,2.179345264743949,2.3418632912503012,2.010263846512365,1.6635014001957413,1.7274597258924675,1.7827879809749245,1.2256574303128185,0.09625447024258281,0.9922385678919208,-1163.0995379956094,True,conservative,1e-06,274,none
2,moderate_amp_noise,current_time,moderate_dims,S,2.179345264743949,2.3418632912503012,2.010263846512365,1.6635014001957413,1.7274597258924675,1.7827879809749245,1.2256574303128185,0.10249103599943614,0.9906748019468712,-1163.0995379956094,True,conservative,1e-06,274,none
2,moderate_amp_noise,current_time,moderate_dims,C,2.179345264743949,2.3418632912503012,2.010263846512365,1.6635014001957413,1.7274597258924675,1.7827879809749245,1.2256574303128185,0.19191294551855315,0.9614881512833877,-1163.0995379956094,True,conservative,1e-06,274,none
2,moderate_amp_noise,long_time,smooth_dims,L,2.6722014661372135,2.747271325399074,2.565171021376247,2.140252150968222,2.18124283781715,2.201082636614638,1.9122241314783568,0.09399023709685991,0.9933390073150344,-1163.2343178530612,True,conservative,1e-06,274,none
2,moderate_amp_noise,long_time,smooth_dims,S,2.6722014661372135,2.747271325399074,2.565171021376247,2.140252150968222,2.18124283781715,2.201082636614638,1.9122241314783568,0.1003430650189064,0.9917301817351605,-1163.2343178530612,True,conservative,1e-06,274,none
2,moderate_amp_noise,long_time,smooth_dims,C,2.6722014661372135,2.747271325399074,2.565171021376247,2.140252150968222,2.18124283781715,2.201082636614638,1.9122241314783568,0.16957060158992932,0.9706638183989574,-1163.2343178530612,True,conservative,1e-06,274,none
2,moderate_amp_noise,long_time,moderate_dims,L,2.1317797699200174,2.285278191274827,1.996828247302592,1.6680406402271457,1.6961905148904721,1.7624705435779253,1.9568372857394971,0.09728220377562664,0.991946983356067,-1163.6649202518543,True,shrink_to_noise,1e-06,274,none
2,moderate_amp_noise,long_time,moderate_dims,S,2.1317797699200174,2.285278191274827,1.996828247302592,1.6680406402271457,1.6961905148904721,1.7624705435779253,1.9568372857394971,0.10392627365916714,0.9903722722272829,-1163.6649202518543,True,shrink_to_noise,1e-06,274,none
2,moderate_amp_noise,long_time,moderate_dims,C,2.1317797699200174,2.285278191274827,1.996828247302592,1.6680406402271457,1.6961905148904721,1.7624705435779253,1.9568372857394971,0.20566402433781736,0.9599294732441297,-1163.6649202518543,True,shrink_to_noise,1e-06,274,none
3,conservative_amp_noise,current_time,smooth_dims,L,2.738683762061363,2.773592259042565,2.7142345515379587,2.1908487064195965,2.234822519488987,2.226786548723179,1.1740616203331062,0.05833801988007069,0.9966584637985308,-1417.5101516939415,True,time_sensitive,1e-06,334,none
3,conservative_amp_noise,current_time,smooth_dims,S,2.738683762061363,2.773592259042565,2.7142345515379587,2.1908487064195965,2.234822519488987,2.226786548723179,1.1740616203331062,0.05923798634736888,0.9963280419817835,-1417.5101516939415,True,time_sensitive,1e-06,334,none
3,conservative_amp_noise,current_time,smooth_dims,C,2.738683762061363,2.773592259042565,2.7142345515379587,2.1908487064195965,2.234822519488987,2.226786548723179,1.1740616203331062,0.07677655845570043,0.988505502306582,-1417.5101516939415,True,time_sensitive,1e-06,334,none
3,conservative_amp_noise,current_time,moderate_dims,L,2.247551169767859,2.2951785131112223,2.225836379193123,1.7066897311797713,1.7534773899653024,1.7472361047326115,1.1932738142846246,0.05933737270728229,0.9961530042023837,-1418.3410777089607,True,time_sensitive,1e-06,334,none
3,conservative_amp_noise,current_time,moderate_dims,S,2.247551169767859,2.2951785131112223,2.225836379193123,1.7066897311797713,1.7534773899653024,1.7472361047326115,1.1932738142846246,0.059984034280799715,0.995958153294332,-1418.3410777089607,True,time_sensitive,1e-06,334,none
3,conservative_amp_noise,current_time,moderate_dims,C,2.247551169767859,2.2951785131112223,2.225836379193123,1.7066897311797713,1.7534773899653024,1.7472361047326115,1.1932738142846246,0.07646177279480296,0.9887481375806113,-1418.3410777089607,True,time_sensitive,1e-06,334,none
3,conservative_amp_noise,long_time,smooth_dims,L,2.7343924315278088,2.733047945043799,2.7131567274696793,2.1926969937479015,2.224578363844565,2.197279435322731,2.0910975530444174,0.058478924517624424,0.9966585223072961,-1418.0822628997355,True,moderate,1e-06,334,none
3,conservative_amp_noise,long_time,smooth_dims,S,2.7343924315278088,2.733047945043799,2.7131567274696793,2.1926969937479015,2.224578363844565,2.197279435322731,2.0910975530444174,0.05950318143930347,0.9962607145786079,-1418.0822628997355,True,moderate,1e-06,334,none
3,conservative_amp_noise,long_time,smooth_dims,C,2.7343924315278088,2.733047945043799,2.7131567274696793,2.1926969937479015,2.224578363844565,2.197279435322731,2.0910975530444174,0.06907458783112691,0.9920695957231148,-1418.0822628997355,True,moderate,1e-06,334,none
