amp_noise_prior,time_prior,dimension_prior,lambda_corr,maturity_set,pooled_val_rmse_bp,pooled_val_mae_bp,mean_fold_rmse_bp,mean_fold_mae_bp,n_total_errors,rank_by_neural_13_rmse,selected_flag
moderate_amp_noise,current_time,moderate_dims,0.25,neural_13,73.52326778609611,46.19924380731036,63.09972946433701,49.96054829158755,2184,19.0,0
moderate_amp_noise,current_time,moderate_dims,0.25,project_17,80.7226770857874,49.858993792856815,68.1101467689171,54.152378852395316,2856,19.0,0
moderate_amp_noise,current_time,moderate_dims,0.5,neural_13,136.07939963667994,76.32992253200118,107.03685383181885,84.2340193536046,2184,21.0,0
moderate_amp_noise,current_time,moderate_dims,0.5,project_17,151.19659191961077,83.67798381966706,117.20759922820106,92.68434669264003,2856,21.0,0
moderate_amp_noise,current_time,moderate_dims,1.0,neural_13,265.4083902932858,141.1363860830986,200.00463551409825,157.26232500769996,2184,23.0,0
moderate_amp_noise,current_time,moderate_dims,1.0,project_17,296.0908957614474,156.08878058073623,220.54152819252985,174.3882543836554,2856,23.0,0
moderate_amp_noise,long_time,smooth_dims,0.25,neural_13,31.33320716398371,24.182007605008806,31.390973120003935,24.55597590506403,2184,11.0,0
moderate_amp_noise,long_time,smooth_dims,0.25,project_17,32.10100469513503,24.92770086147088,32.134130871574314,25.346545746441553,2856,11.0,0
moderate_amp_noise,long_time,smooth_dims,0.5,neural_13,36.208284030404855,28.19247217534465,36.070941542941604,28.921700787843992,2184,15.0,0
moderate_amp_noise,long_time,smooth_dims,0.5,project_17,37.68697291663559,29.279754185976923,37.416362556311775,30.13073632763879,2856,15.0,0
moderate_amp_noise,long_time,smooth_dims,1.0,neural_13,50.925856672966425,38.62329030142852,49.779217548365466,40.08082857880776,2184,17.0,0
moderate_amp_noise,long_time,smooth_dims,1.0,project_17,53.98720605452381,40.52394289148897,52.271791993702,42.2644456065641,2856,17.0,0
moderate_amp_noise,long_time,moderate_dims,0.25,neural_13,76.53690294397495,46.259146945908185,64.87023897615705,50.11231588485427,2184,20.0,0
moderate_amp_noise,long_time,moderate_dims,0.25,project_17,84.03032206622366,50.03237640602853,70.0613707127281,54.435666224003626,2856,20.0,0
moderate_amp_noise,long_time,moderate_dims,0.5,neural_13,143.52562563024986,77.36425830548397,111.12844440231983,85.63081660152432,2184,22.0,0
moderate_amp_noise,long_time,moderate_dims,0.5,project_17,159.22886110972107,84.6522994760517,121.51355771336482,94.04958300432249,2856,22.0,0
moderate_amp_noise,long_time,moderate_dims,1.0,neural_13,281.63063404049274,144.0505064846192,208.5707576727826,161.00181205949693,2184,24.0,0
moderate_amp_noise,long_time,moderate_dims,1.0,project_17,313.48171863877764,158.5403243033174,229.19200191283997,177.7439287228634,2856,24.0,0
