Month,L_actual,S_actual,C_actual,L_pred,S_pred,C_pred,L_resid,S_resid,C_resid
1973-10-01,6.805962473385845,1.9201147319172172,-2.8778214201346275,7.099350262395167,2.5716767093930804,-2.251387394576129,-0.29338778900932194,-0.6515619774758632,-0.6264340255584986
1973-11-01,6.751588853551264,1.7415598467164002,-2.655721296362027,6.949118218638527,1.5921032988798016,-2.5647743600111905,-0.19752936508726293,0.14945654783659856,-0.09094693635083662
1973-12-01,6.725728679758031,2.0202953417655003,-3.0032859748607073,6.886187418750977,1.4367099489252817,-2.3765835910666153,-0.16045873899294527,0.5835853928402186,-0.6267023837940919
1974-01-01,6.973561007029953,1.6250249530340002,-3.5228823365764694,6.8745536692176215,1.6811706232436776,-2.6749745201260318,0.09900733781233129,-0.05614567020967742,-0.8479078164504377
1974-02-01,7.331532078459096,0.6929424527998415,-3.9518948055189718,7.119920610948004,1.2807716764724846,-3.1342836280962287,0.2116114675110925,-0.5878292236726431,-0.817611177422743
1974-03-01,7.269744336314474,1.1122555485379908,-3.56347990742262,7.458615664774834,0.37990203415129076,-3.5254920006758046,-0.18887132846036003,0.7323535143867,-0.037987906746815625
1974-04-01,7.223942615122394,1.7813338860445183,-1.2409373341232035,7.40100461425598,0.7931120710533921,-3.1742935421563843,-0.17706199913358578,0.9882218149911262,1.9333562080331808
1974-05-01,7.25954310658181,2.162932803460711,-0.08165054524003512,7.3289469883307845,1.535733027648213,-1.1155678658315797,-0.0694038817489746,0.6271997758124979,1.0339173205915446
1974-06-01,7.174686502965562,1.5637767578951343,0.9130321245634587,7.352255214496001,1.950027799720188,-0.08456188080615257,-0.17756871153043896,-0.38625104182505376,0.9975940053696113
1974-07-01,7.103730004998147,0.8741281227069712,2.749762997811767,7.233171081397031,1.4392292523236878,0.769527324001925,-0.12944107639888358,-0.5651011296167167,1.9802356738098421
1974-08-01,7.235925377525473,0.9124765577955096,2.8549874375313795,7.109401763769113,0.8850277877209212,2.361555343777971,0.12652361375636012,0.027448770074588458,0.49343209375340846
