obs,panel_month,actual_quote_date,exact_calendar_first_of_month,M3,M6,M9,M12,M15,M18,M21,M24,M30,M36,M48,M60,M72,M84,M96,M108,M120
1985M07,1985-07,1985-07-01,True,7.097694042901375,7.250510420983872,7.43454125158444,7.654957800618055,8.019139677137996,8.188099545205361,8.440618288565481,8.541893758646076,8.859636454295641,9.193917827288576,9.299158377047533,9.485868967876728,10.251713178843119,10.248716168288174,10.077940965643336,10.197263345998515,10.130875062700735
1985M08,1985-08,1985-08-01,True,7.424665649512101,7.683466219469773,7.8374309412841,8.004756497649659,8.373596375743446,8.577926090720894,8.808800645023757,8.876078803028669,9.231949223610773,9.447157400114278,9.979139217555186,9.956546867641102,10.569728094167427,10.14123246598411,10.441638270324754,10.531732967593053,10.455770454141646
1985M09,1985-09,1985-09-03,False,7.261767088038251,7.51831485814176,7.721440907754156,7.859869990916272,8.237302336588318,8.47701526666684,8.620436904349711,8.82205398298165,9.010710869634826,9.18605467331957,9.749399576301427,9.522654508309127,10.258018460546669,9.93503590856503,10.175303158614692,10.260894339932024,10.13214162665627
1985M10,1985-10,1985-10-01,True,7.171624604993585,7.38764842228703,7.6799495530387425,7.782487224279608,8.193257922532226,8.461937651014697,8.534422732163662,8.670415146038433,8.998678002331387,9.15869866833869,9.658339236983661,9.72883827768246,10.146137618860262,9.895437542107928,10.179274053827255,10.344751343437913,10.25879234566956
1985M11,1985-11,1985-11-01,True,7.362193508562857,7.527237348256515,7.696431227713932,7.790304293555781,8.150233271827082,8.339993333764953,8.486082850610934,8.533683008779704,8.769551933114839,8.884732832091437,9.308600500868103,9.583864848303381,9.880821525942492,9.760865487849166,9.898230537639533,10.029155373729578,10.001422473002332
1985M12,1985-12,1985-12-02,False,7.398721254817091,7.5366982644823795,7.65392907386743,7.752934774733751,8.044655784767404,8.135913251140272,8.283837710246846,8.397965482777037,8.549879053733353,8.653271363247706,9.052461346641243,9.037358418068193,9.568983637394604,9.427829481267748,9.556610831949488,9.78649071309503,9.699399515887679
1986M01,1986-01,1986-01-02,False,7.2579396092713715,7.357522185373765,7.459078503890966,7.526716285023681,7.707088108188725,7.759589883485714,7.831864965733483,7.879673912522342,8.066106845256936,8.196330723351343,8.275016765309338,8.594933719190605,8.84674825161929,8.726291402831743,8.66491841414482,9.001022959102361,9.047976119954702
1986M02,1986-02,1986-02-03,False,7.149194503846763,7.283854264491642,7.396561443209554,7.520974043765204,7.6689076221282,7.778988525858012,7.820889499576396,7.828449286167932,8.029092548236136,8.15694617608848,8.50913987750944,8.625374292642848,8.894103573909803,8.685417772866879,8.714516029505539,9.052166877376585,9.0599224932059
1986M03,1986-03,1986-03-03,False,7.092746320423093,7.133391635087634,7.19577074795977,7.2534498968884265,7.409609561605507,7.401270810537218,7.494173922229605,7.405695764270023,7.608589008759879,7.598795647669462,7.900194268322689,7.396753454504655,8.053588068265153,7.850563579493499,7.815891319976751,7.97559087570376,7.834128541243465
1986M04,1986-04,1986-04-01,True,6.4566682533607755,6.496444138276966,6.522119171780909,6.64512239787989,6.780415894164935,6.828634915329215,6.827814893692838,6.802310632610285,7.04743387534577,7.124599889006984,7.28895718028222,7.353219537640693,7.3859667408626555,7.213821648267342,7.305493050265197,7.411751965504082,7.4732311997305265
