date,panel_month,calendar_month_start,actual_quote_date,exact_calendar_first_of_month,calendar_days_after_month_start,n_raw,n_pass1,n_pass2,n_pass3,n_pass4,y3,y6,y9,y12,y15,y18,y21,y24,y30,y36,y48,y60,y72,y84,y96,y108,y120
2013-01-02,2013-01,2013-01-01,2013-01-02,False,1,254,254,254,254,254,0.0007435690082032952,0.0011330083090939434,0.0012813595290022152,0.0017209427741349263,0.002135126306755667,0.0023021893528167503,0.002427922310508133,0.0026323151293212855,0.00315448547677516,0.003843749278126513,0.005588898202223886,0.007690695721792626,0.010070051711312283,0.012645349014424509,0.014944588961598844,0.01718397969324642,0.01921145716991797
2013-02-01,2013-02,2013-02-01,2013-02-01,True,0,257,257,257,257,257,0.0006642902452216979,0.0010461097822025555,0.0010727674811424612,0.0013917175779956643,0.0020210415904734938,0.0022870891551058105,0.0024899565836815586,0.002729618181977726,0.0034810140959759847,0.004285886443159917,0.006587331823870097,0.008927621216943443,0.011634893906683097,0.014311816355300516,0.01679184943208373,0.01911797111181185,0.02123222223583489
2013-03-01,2013-03,2013-03-01,2013-03-01,True,0,259,259,259,259,259,0.0010242263739593095,0.0012296546792060262,0.0013555485644072944,0.0015398196740295893,0.0021373114732489693,0.0021696223318424285,0.0021885740336429036,0.002498462842952087,0.002922333537896163,0.0035369353519246137,0.005398421537656059,0.007489742547145303,0.009937337538145135,0.01242549293149311,0.014862022544333263,0.017188345545200268,0.019230483609567913
2013-04-01,2013-04,2013-04-01,2013-04-01,True,0,260,260,260,260,260,0.0006595335367386546,0.001048828641090167,0.0011344179569113067,0.0013658646350356242,0.0019875302270049135,0.0021240320302444646,0.002242216103578742,0.00244864154713427,0.0029518470809242305,0.0035445177384488963,0.005482954680090093,0.007574582152742412,0.009873261929352756,0.012437433080602111,0.014852873141293688,0.01711387516515466,0.01925183370525369
2013-05-01,2013-05,2013-05-01,2013-05-01,True,0,260,260,260,260,260,0.0005073238374825342,0.000763800957189767,0.0009765579974553955,0.0010748993782403917,0.0016304247683463714,0.001756603575307963,0.0018897440312375014,0.0020826323381894084,0.002568426359898703,0.003089470055626356,0.004596454282708484,0.006515343163209288,0.008595868735046391,0.010904337075185993,0.01315509909400225,0.015316636896914983,0.017250056949551895
2013-06-03,2013-06,2013-06-01,2013-06-03,False,2,263,263,263,263,263,0.00036689787429731926,0.0007061085441340718,0.0010112302884717368,0.001451768838331851,0.0019142575280232325,0.0022306108636921665,0.0026909757134347193,0.003011070842040805,0.0038713366594703147,0.005049779517803128,0.007752750801372372,0.010407304586968459,0.012904228070669927,0.015510284867299903,0.017994783575175418,0.020186912974020164,0.021900197554141534
2013-07-01,2013-07,2013-07-01,2013-07-01,True,0,264,264,264,264,264,0.00015807894150607482,0.0008630349913445401,0.001014969546658357,0.0015205253215245745,0.0021297865805865886,0.0024904809434158023,0.0031470277750920875,0.0036207549749593805,0.005074036977409201,0.006886110160458594,0.010629635549915912,0.01398271195004954,0.016872707803690698,0.01959499011277577,0.02209143842659938,0.02405170368012353,0.025818576454657897
2013-08-01,2013-08,2013-08-01,2013-08-01,True,0,264,264,264,264,264,0.0004058539223086103,0.0007311771616759282,0.0007603049327675237,0.0013595111287015593,0.0018237688195395629,0.002198414969746569,0.002879980991085433,0.0033839215370763146,0.004838419274549156,0.006814804858944355,0.011270172265915491,0.015104150250712661,0.01862221756813163,0.021882771796497474,0.02448251762130108,0.026458494934494058,0.028556451976857036
2013-09-03,2013-09,2013-09-01,2013-09-03,False,2,265,265,265,265,265,7.926533416509087e-05,0.00045661462025292025,0.0007934485264035067,0.0014243297847790336,0.0021659435634979233,0.003002485362016233,0.0037139760214780155,0.004299516648900302,0.0061578903926045115,0.008458305981534985,0.01320480361876057,0.016997088657243257,0.020591607613762445,0.023604932967942194,0.026272691907551254,0.02820046073988568,0.02983545125455011
2013-10-01,2013-10,2013-10-01,2013-10-01,True,0,265,265,265,265,265,0.00015219039518988227,0.00047745579262842877,0.0005904261318351898,0.0011213240851115959,0.0017437070317249828,0.0023448820984381356,0.002915114224369081,0.0033183984595609958,0.004776267116721684,0.0067616195098061695,0.011024232686151669,0.014482407102735918,0.017890670451579757,0.021017277084297025,0.023810069376697267,0.026010045673983215,0.027849346667424967
