fold_id,kernel,input_set,factor,lambda_corr,ell_dL_t,ell_dS_t,ell_dC_t,rq_alpha,alpha_factor,sigma_factor,map_objective,optimizer_success,best_restart_name,final_jitter,n_train,pathology_flag,ell_L_dm_t,ell_S_dm_t,ell_C_dm_t,ell_time
2,RQ,4D,C,0.5,,,,2.1468162164626254,0.14037906056388236,0.9804558915824185,-1165.9596434628438,True,time_sensitive,1e-06,274,none,2.1557682596478607,2.278976798211611,1.9931422138600932,1.9456862380602236
2,RQ,4D,L,1.0,,,,2.1468162164626254,0.09325165367249066,0.9943032321183116,-1165.9596434628438,True,time_sensitive,1e-06,274,none,2.1557682596478607,2.278976798211611,1.9931422138600932,1.9456862380602236
2,RQ,4D,S,1.0,,,,2.1468162164626254,0.08882874275822589,0.9955975114082765,-1165.9596434628438,True,time_sensitive,1e-06,274,none,2.1557682596478607,2.278976798211611,1.9931422138600932,1.9456862380602236
2,RQ,4D,C,1.0,,,,2.1468162164626254,0.14037906056388236,0.9804558915824185,-1165.9596434628438,True,time_sensitive,1e-06,274,none,2.1557682596478607,2.278976798211611,1.9931422138600932,1.9456862380602236
2,RQ,7D,L,0.5,1.6670665486859957,1.7214825169006363,1.7591033106693732,2.292886675576808,0.095557783245271,0.992776908513386,-1164.6578078829225,True,moderate,1e-06,274,none,2.2026045621033825,2.2769406570318176,2.120256960450549,1.9713614293129742
2,RQ,7D,S,0.5,1.6670665486859957,1.7214825169006363,1.7591033106693732,2.292886675576808,0.10115689586748516,0.9913722823397367,-1164.6578078829225,True,moderate,1e-06,274,none,2.2026045621033825,2.2769406570318176,2.120256960450549,1.9713614293129742
2,RQ,7D,C,0.5,1.6670665486859957,1.7214825169006363,1.7591033106693732,2.292886675576808,0.16738863170883167,0.9719960194262731,-1164.6578078829225,True,moderate,1e-06,274,none,2.2026045621033825,2.2769406570318176,2.120256960450549,1.9713614293129742
2,RQ,7D,L,1.0,1.6670665486859957,1.7214825169006363,1.7591033106693732,2.292886675576808,0.095557783245271,0.992776908513386,-1164.6578078829225,True,moderate,1e-06,274,none,2.2026045621033825,2.2769406570318176,2.120256960450549,1.9713614293129742
2,RQ,7D,S,1.0,1.6670665486859957,1.7214825169006363,1.7591033106693732,2.292886675576808,0.10115689586748516,0.9913722823397367,-1164.6578078829225,True,moderate,1e-06,274,none,2.2026045621033825,2.2769406570318176,2.120256960450549,1.9713614293129742
2,RQ,7D,C,1.0,1.6670665486859957,1.7214825169006363,1.7591033106693732,2.292886675576808,0.16738863170883167,0.9719960194262731,-1164.6578078829225,True,moderate,1e-06,274,none,2.2026045621033825,2.2769406570318176,2.120256960450549,1.9713614293129742
3,RBF,4D,L,0.5,,,,,0.09058186150617965,0.9953418774528886,-1420.9638998173782,True,moderate,1e-06,334,none,2.094954672815288,2.2127450209795465,1.7940627789837473,1.815941509912186
3,RBF,4D,S,0.5,,,,,0.08774665870673375,0.9960987736296645,-1420.9638998173782,True,moderate,1e-06,334,none,2.094954672815288,2.2127450209795465,1.7940627789837473,1.815941509912186
3,RBF,4D,C,0.5,,,,,0.16810202145130004,0.9760551930209804,-1420.9638998173782,True,moderate,1e-06,334,none,2.094954672815288,2.2127450209795465,1.7940627789837473,1.815941509912186
3,RBF,4D,L,1.0,,,,,0.09058186150617965,0.9953418774528886,-1420.9638998173782,True,moderate,1e-06,334,none,2.094954672815288,2.2127450209795465,1.7940627789837473,1.815941509912186
3,RBF,4D,S,1.0,,,,,0.08774665870673375,0.9960987736296645,-1420.9638998173782,True,moderate,1e-06,334,none,2.094954672815288,2.2127450209795465,1.7940627789837473,1.815941509912186
3,RBF,4D,C,1.0,,,,,0.16810202145130004,0.9760551930209804,-1420.9638998173782,True,moderate,1e-06,334,none,2.094954672815288,2.2127450209795465,1.7940627789837473,1.815941509912186
3,RBF,7D,L,0.5,1.0086530533745013,1.5672506995966324,1.690455356197196,,0.10002772664367994,0.9917256885749234,-1415.9320404032435,True,moderate,1e-06,334,none,1.9815324070905243,2.5367780601853425,1.3246599664040941,2.345253161386447
3,RBF,7D,S,0.5,1.0086530533745013,1.5672506995966324,1.690455356197196,,0.11460238547564652,0.9884714160294023,-1415.9320404032435,True,moderate,1e-06,334,none,1.9815324070905243,2.5367780601853425,1.3246599664040941,2.345253161386447
3,RBF,7D,C,0.5,1.0086530533745013,1.5672506995966324,1.690455356197196,,0.8072746201438785,0.7767098221557068,-1415.9320404032435,True,moderate,1e-06,334,none,1.9815324070905243,2.5367780601853425,1.3246599664040941,2.345253161386447
3,RBF,7D,L,1.0,1.0086530533745013,1.5672506995966324,1.690455356197196,,0.10002772664367994,0.9917256885749234,-1415.9320404032435,True,moderate,1e-06,334,none,1.9815324070905243,2.5367780601853425,1.3246599664040941,2.345253161386447
3,RBF,7D,S,1.0,1.0086530533745013,1.5672506995966324,1.690455356197196,,0.11460238547564652,0.9884714160294023,-1415.9320404032435,True,moderate,1e-06,334,none,1.9815324070905243,2.5367780601853425,1.3246599664040941,2.345253161386447
3,RBF,7D,C,1.0,1.0086530533745013,1.5672506995966324,1.690455356197196,,0.8072746201438785,0.7767098221557068,-1415.9320404032435,True,moderate,1e-06,334,none,1.9815324070905243,2.5367780601853425,1.3246599664040941,2.345253161386447
3,RQ,4D,L,0.5,,,,2.1607324499632785,0.08962004893024779,0.9958060749481276,-1421.6400473895812,True,shrink_to_noise,1e-06,334,none,2.1690334393495942,2.234055932319833,1.9584493672143866,1.8943280860578005
3,RQ,4D,S,0.5,,,,2.1607324499632785,0.08780125942004395,0.9962749736126189,-1421.6400473895812,True,shrink_to_noise,1e-06,334,none,2.1690334393495942,2.234055932319833,1.9584493672143866,1.8943280860578005
